2450455.67070 20.873 0.149 11  0 A
2450455.74494 20.540 0.130 11  0 B
2450455.79250 20.431 0.123 11  0 B
2450456.61261 20.297 0.096 11  0 A
2450456.66234 20.251 0.169 11  0 F
2450456.69512 21.319 0.331 11  0 C
2450456.73313 20.306 0.109 11  0 A
2450456.78053 20.689 0.141 11  0 A
2450456.83196 20.451 0.129 11  0 A
2450457.58030 20.686 0.155 11  0 A
2450457.62425 20.591 0.146 11  0 A
2450457.68287 21.120 0.231 11  0 A
2450457.74147 20.402 0.138 11  0 A
2450457.80011 21.134 0.260 11  0 A
2450457.82960 20.193 0.120 11  0 A
2450458.65668 20.607 0.158 11  0 B
2450458.72575 20.731 0.195 11  0 C
2450459.57390 20.838 0.212 11  0 A
2450459.62006 20.832 0.190 11  0 A
2450459.67864 20.999 0.225 11  0 A
2450459.73807 21.122 0.243 11  0 B
2450459.78193 20.500 0.151 11  0 B
2450459.82574 20.339 0.129 11  0 B
2450461.58482 20.695 0.165 11  0 B
2450461.62856 20.435 0.131 11  0 A
2450461.68725 20.719 0.161 11  0 C
2450461.75340 20.681 0.144 11  0 A
2450461.81540 20.953 0.263 11  0 C
2450462.58534 20.530 0.127 11  0 A
2450462.64396 20.784 0.151 11  0 A
2450462.68993 20.511 0.144 11  0 A
2450465.69201 20.634 0.187 11  0 C
2450465.73648 20.697 0.214 11  0 C
2450465.82123 20.441 0.139 11  0 A
2450466.67250 20.756 0.189 11  0 D
2450466.73906 20.174 0.099 11 40 B
2450466.82404 20.192 0.115 11  0 B
2450467.67617 20.577 0.157 11  0 A
2450467.78077 21.016 0.224 11  0 A
2450467.84670 20.206 0.149 11  0 D
2450468.68707 20.790 0.210 11  0 B
2450468.75301 20.158 0.107 11  0 B
2450468.81163 20.298 0.114 11  0 B
2450468.83365 20.447 0.121 11  0 B
2450469.68376 20.914 0.250 11  0 B
2450469.76188 20.659 0.200 11  0 A
2450469.83083 20.862 0.304 11  0 C
2450470.76247 21.545 0.610 11  0 E
2450470.80956 21.321 0.507 11  0 D
2450471.66958 20.341 0.145 11  0 A
2450471.80636 20.579 0.244 11  0 E
2450472.64423 20.787 0.195 11  0 A
2450472.68801 20.313 0.121 11  0 A
2450472.73180 20.961 0.262 11  0 A
2450472.79772 21.567 0.590 11  0 B
2450472.82723 20.433 0.238 11  0 B
2450474.72375 20.697 0.215 11  0 C
2450475.55811 20.289 0.122 11  0 C
2450475.61689 20.331 0.143 11  0 C
2450475.68299 21.944 0.753 11  0 D
2450475.73514 20.620 0.235 11  0 C
2450476.76915 20.083 0.141 11  0 D
2450477.55484 20.703 0.160 11  0 A
2450477.60617 20.803 0.169 11  0 A
2450477.75362 20.089 0.103 11  0 A
2450477.83446 21.306 0.390 11  0 B
2450478.56100 20.857 0.195 11  0 A
2450478.78140 20.804 0.196 11  0 A
2450478.84033 21.031 0.252 11  0 B
2450479.55982 20.472 0.149 11  0 C
2450479.60369 20.767 0.161 11  0 A
2450479.73747 20.423 0.174 11  0 B
2450479.84129 20.078 0.144 11  0 D
2450480.59589 20.801 0.212 11  0 C
2450480.67703 21.167 0.234 11  0 B
2450480.77062 20.608 0.155 11  0 B
2450480.81473 20.936 0.249 11  0 C
2450481.58107 20.392 0.133 11  0 B
2450481.72945 20.688 0.186 11  0 B
2450481.77342 20.511 0.161 11  0 C
2450481.81737 20.466 0.173 11  0 D
2450482.73030 20.712 0.175 11  0 B
2450482.80820 20.367 0.133 11  0 B
2450483.59656 20.786 0.247 11  0 E
2450483.64101 20.668 0.173 11  0 C
2450483.68489 20.713 0.162 11  0 B
2450483.72886 20.951 0.225 11  0 C
2450483.77277 20.459 0.145 11  0 C
2450483.81670 20.622 0.226 11  0 E
2450484.59524 20.219 0.134 11  0 B
2450484.70391 20.282 0.128 11  0 B
2450484.74827 21.032 0.226 11  0 B
2450484.79229 20.514 0.171 11  0 B
2450485.59888 20.589 0.149 11  0 C
2450485.74582 20.519 0.152 11  0 B
2450485.78994 20.227 0.116 11  0 C
2450486.59541 20.965 0.248 11  0 D
2450486.68175 20.615 0.159 11  0 E
2450486.73747 20.862 0.219 11  0 C
2450486.78265 21.031 0.250 11  0 B
2450487.62237 20.359 0.104 11  0 B
2450487.67062 20.566 0.123 11  0 A
2450487.71844 20.487 0.121 11  0 B
2450487.76254 20.544 0.147 11  0 B
2450487.80673 20.489 0.137 11  0 C
2450488.60789 20.529 0.135 11  0 B
2450488.65179 20.681 0.149 11  0 A
2450488.72067 21.112 0.276 11  0 C
2450488.76466 20.326 0.144 11  0 C
2450488.80873 20.548 0.197 11  0 D
2450489.58358 20.368 0.110 11  0 B
2450489.67258 20.348 0.107 11  0 A
2450489.71648 21.156 0.244 11  0 A
2450489.76042 20.628 0.174 11  0 B
2450490.57683 20.643 0.122 11  0 A
2450490.71399 20.599 0.157 11  0 A
2450490.75811 20.499 0.158 11  0 A
2450490.80210 20.906 0.211 11  0 B
2450491.60133 20.536 0.150 11  0 C
2450491.65315 20.577 0.157 11  0 C
2450491.69728 20.457 0.153 11  0 C
2450491.81070 21.341 0.378 11  0 C
2450492.58551 20.485 0.151 11  0 C
2450492.65984 20.220 0.124 11  0 E
2450493.58855 20.035 0.100 11  0 B
2450493.63302 20.549 0.154 11  0 A
2450494.58328 20.750 0.177 11  0 B
2450494.62721 20.832 0.213 11  0 B
2450494.67140 21.416 0.374 11  0 C
2450494.71573 20.077 0.113 11  0 B
2450494.76071 20.411 0.138 11  0 B
2450495.58607 21.198 0.332 11  0 C
2450495.65970 20.259 0.158 11  0 C
2450495.71319 19.870 0.140 11  0 E
2450496.58144 20.670 0.211 11  0 B
2450496.62622 20.468 0.172 11  0 B
2450496.67031 21.153 0.398 11  0 E
2450498.58053 20.538 0.165 11  0 A
2450498.62456 20.179 0.109 11  0 A
2450498.73830 20.523 0.187 11  0 A
2450498.78227 20.099 0.130 11  0 B
2450499.57549 20.247 0.128 11  0 B
2450499.62118 20.757 0.182 11  0 A
2450499.76148 20.622 0.224 11  0 C
2450500.54471 20.691 0.250 11  0 C
2450500.61817 20.966 0.346 11  0 E
2450500.66312 20.673 0.234 11  0 C
2450500.71423 20.545 0.219 11  0 B
2450500.75868 20.626 0.268 11  0 C
2450501.58237 20.974 0.359 11  0 C
2450501.70112 20.309 0.202 11  0 B
2450507.57080 20.720 0.177 11  0 B
2450507.61598 20.969 0.267 11  0 E
2450507.68780 20.315 0.228 11  0 F
2450509.56665 20.881 0.239 11  0 B
2450509.61378 20.751 0.227 11  0 B
2450509.66611 22.018 0.824 11  0 C
2450510.60828 20.433 0.161 11  0 C
2450510.65385 21.668 0.557 11  0 D
2450510.70143 20.264 0.193 11  0 E
2450512.60042 20.965 0.247 11  0 D
2450512.64872 20.194 0.171 11  0 F
2450512.72305 20.870 0.227 11  0 C
2450513.58073 20.662 0.172 11  0 E
2450513.62629 20.410 0.124 11  0 A
2450513.71800 20.522 0.149 11  0 A
2450514.58895 21.239 0.258 11  0 A
2450514.65803 20.733 0.216 11  0 C
2450514.70837 20.453 0.157 11  0 B
2450514.75523 20.823 0.199 11  0 B
2450515.58310 20.717 0.170 11  0 A
2450515.63784 20.558 0.158 11  0 A
2450515.68608 20.511 0.171 11  0 B
2450516.58941 20.235 0.157 11  0 D
2450516.64360 20.483 0.175 11  0 C
2450516.69058 20.588 0.180 11  0 B
2450516.73707 20.585 0.215 11  0 C
2450517.58739 21.636 0.517 11  0 C
2450517.63723 20.566 0.189 11  0 B
2450517.68721 21.069 0.330 11  0 C
2450517.73335 20.379 0.172 11  0 C
2450518.62474 20.241 0.140 11  0 B
2450518.66998 20.392 0.176 11  0 C
2450518.71907 20.839 0.303 11  0 C
2450519.58535 20.737 0.160 11  0 B
2450519.63200 20.912 0.247 11  0 D
2450519.71440 21.127 0.344 11  0 C
2450520.72616 20.634 0.217 11  0 D
2450521.58168 20.587 0.189 11  0 C
2450521.62678 21.173 0.381 11  0 E
2450521.68957 20.789 0.288 11  0 E
2450523.59091 20.225 0.146 11  0 E
2450523.64372 20.267 0.139 11  0 C
2450523.69362 20.287 0.165 11  0 F
2450524.58334 20.672 0.226 11  0 C
2450524.63331 20.734 0.273 11 40 E
2450526.57031 20.416 0.212 11  0 F
2450527.69548 20.184 0.179 11  0 D
2450531.58303 20.668 0.267 11  0 D
2450532.57251 21.415 0.545 11  0 D
2450533.58974 20.361 0.188 11  0 E
2450534.57897 20.191 0.164 11  0 D
2450534.62305 19.975 0.142 11  0 E
2450534.67482 20.496 0.253 11  0 F
2450535.56353 20.605 0.175 11  0 C
2450535.62383 20.377 0.166 11 40 D
2450536.54269 20.427 0.169 11  0 D
2450536.58786 20.667 0.219 11  0 D
2450537.53728 20.667 0.167 11  0 C
2450537.63748 20.243 0.140 11  0 C
2450538.52526 22.567 1.348 11  0 D
2450538.57700 20.600 0.185 11  0 D
2450539.53390 21.205 0.348 11  0 B
2450539.64498 20.536 0.164 11  0 B
2450540.65071 20.100 0.138 11  0 C
2450541.54427 20.417 0.136 11  0 C
2450541.60129 20.579 0.162 11  0 C
2450542.53337 21.146 0.264 11  0 B
2450542.58524 20.440 0.142 11  0 C
2450542.63271 20.771 0.200 11  0 C
2450543.57160 20.880 0.216 11  0 B
2450543.61565 20.866 0.239 11  0 B
2450543.65270 20.000 0.109 11  0 B
2450544.52436 20.838 0.200 11  0 C
2450544.56867 20.851 0.205 11  0 C
2450544.61294 20.842 0.232 11  0 E
2450544.65818 20.332 0.156 11  0 C
2450551.51410 20.459 0.137 11  0 B
2450552.52556 20.988 0.267 11  0 B
2450553.53092 20.674 0.261 11  0 A
2450554.50762 20.651 0.257 11  0 B
2450559.54514 20.811 0.327 11  0 C
2450561.52318 20.671 0.298 11  0 A
2450564.52594 20.684 0.291 11  0 E
2450565.53172 20.644 0.270 11  0 A
2450566.52570 20.961 0.303 11  0 A
2450567.52679 20.758 0.225 11  0 A
2450569.52181 20.272 0.192 11  0 D
2450571.50767 21.092 0.373 11  0 A
2450572.53793 20.624 0.247 11  0 A
2450574.49985 20.124 0.137 11  0 A
2450577.50742 20.779 0.265 11  0 A
2450578.52096 20.582 0.213 11  0 C
2450583.50588 20.527 0.231 11  0 B
2450672.89134 20.627 0.197 11  0 B
2450689.87533 20.339 0.167 11  0 C
2450699.87655 20.294 0.163 11  0 B
2450704.88467 21.110 0.417 11  0 E
2450706.86608 21.135 0.466 11  0 C
2450714.84193 21.280 0.359 11  0 B
2450716.79813 20.575 0.196 11  0 C
2450720.85446 20.303 0.181 11  0 D
2450728.79329 20.324 0.138 11  0 A
2450729.79333 20.782 0.277 11  0 C
2450730.74887 20.563 0.187 11  0 C
2450741.84310 20.423 0.187 11  0 B
2450745.79796 20.743 0.235 11  0 B
2450747.84633 20.804 0.258 11  0 B
2450753.80020 20.838 0.319 11  0 C
2450759.83476 21.301 0.391 11  0 B
2450772.82802 20.452 0.185 11  0 B
2450775.80973 20.519 0.173 11  0 A
2450779.82838 20.535 0.186 11  0 B
2450787.80477 20.701 0.221 11  0 A
2450789.78879 20.597 0.235 11  0 D
2450790.79926 20.662 0.243 11  0 C
2450795.75690 20.683 0.238 11  0 A
2450796.82879 20.655 0.244 11  0 A
2450797.75656 21.067 0.316 11  0 A
2450798.72854 20.835 0.228 11  0 A
2450805.81342 20.322 0.235 11  0 E
2450816.78444 20.449 0.180 11  0 A
2450817.70369 20.410 0.159 11  0 B
2450819.80335 20.429 0.247 11  0 D
2450822.81757 20.423 0.153 11  0 B
2450824.84681 20.423 0.204 11  0 A
2450826.67031 20.463 0.217 11  0 A
2450829.74089 20.524 0.249 11  0 C
2450832.69711 20.914 0.292 11  0 A
2450836.79593 20.367 0.225 11  0 B
2450840.67530 22.473 1.671 11  0 D
2450843.67574 20.623 0.206 11  0 B
2450850.64933 20.221 0.155 11  0 C
2450854.68716 20.668 0.283 11  0 B
2450856.62037 20.452 0.253 11  0 D
2450858.59293 21.189 0.397 11  0 B
2450875.56826 20.227 0.149 11  0 C
2450880.55382 20.229 0.147 11  0 B
2450887.56713 20.620 0.305 11  0 C
2450892.69545 20.724 0.275 11  0 B
2450895.54155 21.463 0.650 11  0 C
2450898.54844 20.356 0.137 11  0 A
2450922.61577 20.817 0.308 11  0 C
2450933.57340 20.600 0.276 11  0 D
2450952.50690 22.055 0.933 11  0 A
2451045.90150 21.176 0.455 11  0 E
2451051.88172 20.208 0.170 11  0 C
2451052.91696 20.271 0.203 11  0 D
2451053.89719 21.221 0.324 11  0 C
